Priority,BlockID,Observer,ObjectName,ObjectType,RA,DEC,RAoffset,DECoffset,ROToffset,Filter1,Filter2,DitherType,DitherRadius,DitherPhase,DitherTotal,Images,IntegrationTime,Comment1,Comment2
0,P00001,OU,GB1,bulge,17:44:26.07,-24:10:53.83,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00002,OU,GB2,bulge,17:41:39.95,-25:12:11.73,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00003,OU,GB3,bulge,17:38:50.76,-26:13:15.57,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00004,OU,GB4,bulge,17:35:58.32,-27:14:04.53,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00005,OU,GB5,bulge,17:33:01.11,-28:15:04.88,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00006,OU,GB6,bulge,17:30:00.22,-29:15:48.30,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00007,OU,GB7,bulge,17:26:55.44,-30:16:13.78,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00008,OU,GB8,bulge,17:48:55.84,-24:48:04.86,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00009,OU,GB9,bulge,17:46:11.02,-25:49:44.30,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00010,OU,GB10,bulge,17:43:23.16,-26:51:10.66,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00011,OU,GB11,bulge,17:40:32.09,-27:52:23.14,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00012,OU,GB12,bulge,17:37:36.29,-28:53:48.26,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00013,OU,GB13,bulge,17:34:36.85,-29:54:57.52,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00014,OU,GB14,bulge,17:31:33.55,-30:55:49.96,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00015,OU,GB15,bulge,17:53:28.31,-25:24:45.36,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00016,OU,GB16,bulge,17:50:44.94,-26:26:45.10,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00017,OU,GB17,bulge,17:47:58.59,-27:28:32.76,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00018,OU,GB18,bulge,17:45:09.08,-28:30:07.58,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00019,OU,GB19,bulge,17:42:14.89,-29:31:56.26,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00020,OU,GB20,bulge,17:39:17.10,-30:33:30.19,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00021,OU,GB21,bulge,17:36:15.48,-31:34:48.43,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00022,OU,GB22,bulge,17:58:03.53,-26:00:54.15,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00023,OU,GB23,bulge,17:55:21.79,-27:03:12.91,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00024,OU,GB24,bulge,17:52:37.13,-28:05:20.61,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00025,OU,GB25,bulge,17:49:49.36,-29:07:16.50,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00026,OU,GB26,bulge,17:46:56.99,-30:09:27.49,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00027,OU,GB27,bulge,17:44:01.06,-31:11:24.85,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00028,OU,GB28,bulge,17:41:01.34,-32:13:07.67,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00029,OU,GB29,bulge,18:02:41.57,-26:36:30.04,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00030,OU,GB30,bulge,18:00:01.64,-27:39:06.49,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00031,OU,GB31,bulge,17:57:18.85,-28:41:32.90,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00032,OU,GB32,bulge,17:54:33.01,-29:43:48.54,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00033,OU,GB33,bulge,17:51:42.65,-30:46:20.54,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00034,OU,GB34,bulge,17:48:48.79,-31:48:40.03,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00035,OU,GB35,bulge,17:45:51.21,-32:50:46.15,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00036,OU,GB36,bulge,18:09:58.98,-26:08:02.31,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00037,OU,GB37,bulge,18:07:22.49,-27:11:31.81,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00038,OU,GB38,bulge,18:04:43.34,-28:14:52.81,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00039,OU,GB39,bulge,18:02:01.37,-29:18:04.65,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00040,OU,GB40,bulge,17:59:16.38,-30:21:06.62,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00041,OU,GB41,bulge,17:56:28.17,-31:23:57.99,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00042,OU,GB42,bulge,17:53:36.52,-32:26:37.98,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00043,OU,GB43,bulge,17:50:41.22,-33:29:05.75,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
0,P00044,OU,GB44,bulge,17:47:42.02,-34:31:20.44,0.0,0.0,-45.7,Open,H,None,0.0,0.0,0,1,10.00,"""""",""""""
